audio_path,grammar,vocabulary,pronunciation,fluency,content,final,absolute_path,exists,subfolder,text
audio/HUST6923DQQK166/HUST0609230124-3.ogg,6.5,7.0,7.0,7.0,6.5,7.0,/mnt/son_usb/DATA_Vocal/CD13_2/audio/HUST6923DQQK166/HUST0609230124-3.mp3,True,CD13_2," There's a good way to reduce the consumption of the textbooks. And I think more people have switched to textbooks for their main view. I think it's a big advantage and also an advantage. First of all, the advantage is the textbook is complaining in the mail. Because I can eat real amount and can't eat much. And he is avoiding getting too hungry because I can eat everything I want. The textbook score is... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... You can eat fried chicken, hamburger, but not too much. And you can consider it's the main meal. So when you can eat a lot of food, it makes you all. If you can't eat fried chicken, you can eat fried chicken. You can eat fried chicken with a lot of food. And if you can't eat fried chicken, you can eat fried chicken with a lot of food. This is a good way to reduce the consumption of fast food. I agree with that opinion because fast food makes a lot of food every year, every day. So the fate of that food is garbage. It's to waste the waste. So if you test the season on the junk food, it's to keep the control of the amount of the food after they reduce the consumption of fast food. It is my opinion."
audio/HUST111223FIAI177/HUST1112230160-1.ogg,4.0,4.0,4.0,4.0,4.0,4.0,/mnt/son_usb/DATA_Vocal/CD14_2/audio/HUST111223FIAI177/HUST1112230160-1.mp3,True,CD14_2," Hello, I am Shenmink Time. Now I going talk about Vue Lenguk. I don't every Vue Lenguk before. It is common to foreign work in my country. Why? It make me reduce stress after work and study everyday. I get from doing Vue Lenguk is I am going to talk about noisy. Just I mind noisy. It is good. It is make me reduce stress after work and study everyday. The tip of policy who I come across in job daily life is I read a book. In my house. Just I do I think there is to mark policy in the modern. It is make me boring and tired. It is make me boring and tired."
audio/HUST311023JNFX167/HUST3110230026-2.ogg,8.0,8.0,8.0,8.0,7.0,8.0,/mnt/son_usb/DATA_Vocal/CD16_1/audio/HUST311023JNFX167/HUST3110230026-2.mp3,True,CD16_1," I am going to talk about a situation. The parents are going to celebrate their wedding anniversary like we still want to give them a present. There are three options. A cup of movie tickets, a bouquet of flowers, and a handmade car. Which do you think is the best choice? The three options are good, but I think the third choice is my best choice for some reason. Firstly, it is quite cheap for me. The second is I can make a car with my love for my parents. I don't choose a cup of movie tickets because it's expensive and it is quite boring for my parents. I don't choose a bouquet of flowers. It is simple. More and more, it is more expensive for me. Finally, handmade car is my best choice. you you you"
audio/HUST4423YBSN166/HUST0404230153-2.ogg,5.0,6.0,5.5,6.0,5.5,5.5,/mnt/son_usb/DATA_Vocal/CD8_2/audio/HUST4423YBSN166/HUST0404230153-2.mp3,True,CD8_2, I think just club is bad for your friend's son. Reading is a easy activity. But her son has to read in school many times. Reading is a boring activity. Guitar is also a good activity. But playing the guitar is difficult. It is not also interesting. Chess Club is my best opinion. Because chess is a game. All the children are interested in chess. Chess will help her son improve your logic. And make him happy after school. I finished your answers.
audio/HUST6923V6BY167/HUST0609230028-2.ogg,5.0,6.0,5.0,5.0,6.0,5.5,/mnt/son_usb/DATA_Vocal/CD13_1/audio/HUST6923V6BY167/HUST0609230028-2.mp3,True,CD13_1," Now I'm going to talk about how my 70th great nephew spent his summer holiday. His three subjects are joining a summer camp, talking with a summer school, or staying with his grandparents in the Ganshi. In my opinion, staying with his grandparents is a bad choice because of the following reasons. Firstly, he is the person's love grandparent. So in summer holidays, you can talk about more time, talk about with grandparent or closest. And I think he is being very confident and relaxed. There is a reason why I don't choose other options, joining a summer camp. I think if he is very dangerous, then it's because he is taken by a teacher or parents. The second option is taking a summer school. I think this is not suitable for him because he doesn't like taking a summer school. If he is very convenient, then he is relaxed. To sum up, if I was his reason, staying with his best child."
audio/HUST281123Q63S166/HUST2811230016-2.ogg,4.0,4.0,4.0,4.0,4.0,4.0,/mnt/son_usb/DATA_Vocal/CD17_1/audio/HUST281123Q63S166/HUST2811230016-2.mp3,True,CD17_1," I would like to talk the best way to take notes in class. There are three things I think regarding the teacher nature is best choice for me. It is called... It is very... It is very fast. It is hard to... To note teacher nature, You can... You can... You can put them every time it... When you want it is enough, clone it and information for you. You can save a long time. Also, two options, taking notes in Spanish or taking notes by phone, tablet, iPad is well. But, my choice... But regarding the teacher nature is a bad choice for me."
audio/HUST311023LSQF177/HUST3110230277-1.ogg,8.0,8.5,9.0,9.0,8.5,8.5,/mnt/son_usb/DATA_Vocal/CD16_3/audio/HUST311023LSQF177/HUST3110230277-1.mp3,True,CD16_3," In my opinion, Vietnamese food I think is very famous because of the international people who go in Vietnam. They really like to enjoy the Vietnamese Chinese food. I often eat Vietnamese food on days because I am Vietnamese and I like to enjoy Vietnamese food. I think it's very good for my health and it's easy to find when I go out. My Vietnamese food is Pho Hanoi because I was born in Hanoi and I lived in Hanoi for 19 years. I love Pho Hanoi because it's the traditional food in Hanoi and it's very famous in the world. You know, people have their own restaurant in Chinese and a lot of people in Chinese love Pho Hanoi. I think Pho Hanoi is very famous and very good for my health. My family often go together because we want to spend a lot of time together. My family have four people. It's me, my father, my mother and my brother. I often sharing this because I love my family and I want to share with my friends about my family. My family's great thing about the garden is that it has a lot of benefits."
audio/HUST111223RERA177/HUST1112230074-1.ogg,6.0,6.0,6.0,6.0,6.0,6.0,/mnt/son_usb/DATA_Vocal/CD14_1/audio/HUST111223RERA177/HUST1112230074-1.mp3,True,CD14_1," Now I would like to talk about direct surgery. For the first question, do I often use direct surgery? Yes, I usually use direct surgery. I use it for English to recovering new work. Do you prefer online direct surgery or paper one? I like online direct surgery because it is so convenient. I will click on the website and look for some keywords. For the third question, what kind of direct surgery do I think are useful? I think direct surgery is about language because it helps me learn new language. Now I would like to talk about my morning. For the first question, what do I often do in the morning? In the morning, I often wake up at 6 AM. After that, I break my teeth and wipe my face. I listen to music and drink some coffee. After that, I go to work. For the second question, do I do the same thing every morning? I was in the night after high-working. For the third question, what is the most popular activity for people in my country in the morning? I find in my country in the morning, I find a lot of people do exercise. They usually go around the leg."
audio/HUST4523I2KC166/HUST0405230043-2.ogg,6.5,7.0,6.0,7.0,6.5,6.5,/mnt/son_usb/DATA_Vocal/CD9_1/audio/HUST4523I2KC166/HUST0405230043-2.mp3,True,CD9_1," If one of my cousin is very bullied at school, I consider about three options that are talk to his teacher, talk to his parents, or talk with his friends. I think I will choose the first option, talk to his teacher, because I think big teacher will see the big picture, why my cousin is bullied, or who is bullied by my cousin. And the teacher will give the right way to solve that problem. Secondly, I think it is the responsibility of the teacher and the school. They have to solve the problem in their school. And I let the parent and make the parent of my cousin to have time to do the talk. And about talk to his parents, I think it is maybe the love and emotion of the parent can impact to the decision. And it is always with his friends, it is strict because his friend maybe had to fight with the guy who bullied my cousin. And I think it is the responsibility of the teacher and the school to have time to talk to his parents. And I think it is the responsibility of the teacher and the school to have time to talk to his parents."
audio/HUST311023JNFX166/HUST3110230010-2.ogg,6.0,6.0,6.0,5.0,5.0,5.5,/mnt/son_usb/DATA_Vocal/CD16_1/audio/HUST311023JNFX166/HUST3110230010-2.mp3,True,CD16_1," In my opinion, Otay is a bad choice because of the following reasons. First and foremost, Otay is a special gift. First and foremost, he likes Otay and I think that Otay can make him stand out and be confident. The main reason why I don't choose other options is because I think they are not suitable for him. If I choose the right option, I would choose Otay due to his reasons. I think Otay can make him stand out and be confident. I think Otay can make him stand out and be confident. I think Otay can make him stand out and be confident. I think Otay can make him stand out and be confident. I think Otay can make him stand out and be confident. I think Otay can make him stand out and be confident."
